,Pulse,t_ft,Ip,ne,Pnbi
0,29737,0.3221999918605434,416.83953857421875,2.590923504454153e+19,-0.0013323721941560507
1,29738,0.3221999918605434,420.8661193847656,2.6140950523025555e+19,-0.0011948822066187859
2,29739,0.3221999918605434,417.1376647949219,2.5978381131789107e+19,-0.001112176920287311
3,29741,0.3221999918605434,419.560791015625,2.1490467137300464e+19,-0.0028126894030719995
4,29742,0.3221999918605434,417.0314025878906,3.0425650579445383e+19,1.4320141077041626
5,29743,0.3221999918605434,415.8055114746094,2.7840483238264963e+19,1.2281434535980225
6,29746,0.3221999918605434,417.3875427246094,2.534188924363237e+19,1.3662006855010986
7,29747,0.3221999918605434,552.3072509765625,2.1416186330751173e+19,1.574529767036438
8,29748,0.3221999918605434,559.246826171875,2.1754484068385292e+19,1.5810712575912476
9,29749,0.3221999918605434,557.228515625,2.0162261488993567e+19,1.5813366174697876
10,29751,0.3221999918605434,561.1522827148438,2.479718678518563e+19,1.5437211990356445
11,29752,0.3221999918605434,563.5281982421875,3.252153744528874e+19,1.5791027545928955
12,29753,0.3221999918605434,556.360595703125,2.6563391686510117e+19,1.5818736553192139
13,29754,0.3221999918605434,786.3204956054688,2.418730747646758e+19,1.1400986909866333
14,29758,0.3221999918605434,415.9089660644531,2.783589607575388e+19,3.0175013542175293
15,29759,0.3221999918605434,567.991943359375,1.9098765464096997e+19,2.051576852798462
16,29761,0.3221999918605434,565.1016845703125,1.87610900500442e+19,2.1005637645721436
17,29762,0.3221999918605434,855.2357177734375,2.4203971674698154e+19,3.291639566421509
18,29763,0.3221999918605434,566.4256591796875,,2.10616397857666
19,29764,0.3221999918605434,567.8404541015625,1.932754524653486e+19,2.0607173442840576
20,29767,0.3221999918605434,422.0156555175781,1.4192369647495414e+19,1.0380369424819946
21,29768,0.3221999918605434,419.1802978515625,2.6583400599112385e+19,3.090672731399536
22,29769,0.3221999918605434,413.8230285644531,2.4945801174842343e+19,1.1829769611358643
23,29771,0.3221999918605434,417.0386047363281,2.6297503386634813e+19,3.1931581497192383
24,29775,0.3221999918605434,409.90234375,2.2795290571331076e+19,0.8409757614135742
25,29776,0.3221999918605434,420.4942321777344,2.3797180959723356e+19,1.8157581090927124
26,29777,0.3221999918605434,415.0646667480469,2.76600643752632e+19,3.0177528858184814
27,29778,0.3221999918605434,419.42864990234375,2.8882980790094266e+19,1.994751214981079
28,29780,0.3221999918605434,416.04443359375,2.6794636574017454e+19,1.9954776763916016
29,29781,0.3221999918605434,416.2988586425781,2.6451947386941997e+19,2.007652521133423
30,29782,0.3221999918605434,412.1754150390625,2.990694277490252e+19,1.9716711044311523
31,29783,0.3221999918605434,417.6263122558594,2.9895481465694585e+19,2.9699621200561523
32,29784,0.3221999918605434,428.7574157714844,2.4740819222076064e+19,2.997978448867798
33,29785,0.3221999918605434,729.0913696289062,2.6186943094415426e+19,1.8562405109405518
34,29786,0.3221999918605434,793.8826293945312,2.7332675991999873e+19,3.52870774269104
35,29790,0.3221999918605434,729.9064331054688,2.6166654905859703e+19,2.701106309890747
36,29790,0.3221999918605434,729.9064331054688,2.6166654905859703e+19,2.701106309890747
37,29791,0.3221999918605434,790.3028564453125,3.0730864012199723e+19,2.584103584289551
38,29794,0.3221999918605434,629.0557250976562,2.9528987851877777e+19,1.9882774353027344
39,29795,0.3221999918605434,563.650390625,2.7873897396633076e+19,3.0691113471984863
40,29796,0.3221999918605434,414.72955322265625,2.8348426823971897e+19,2.9559617042541504
41,29799,0.3221999918605434,418.7532653808594,2.7067471588357046e+19,2.999983072280884
42,29800,0.3221999918605434,628.9911499023438,2.7937946147974283e+19,1.9980130195617676
43,29801,0.3221999918605434,626.6021728515625,2.5710065110239674e+19,2.044374942779541
44,29803,0.3221999918605434,628.447509765625,2.8500761960977007e+19,2.0051071643829346
45,29807,0.3221999918605434,725.2051391601562,2.6263306375987724e+19,1.8222168684005737
46,29808,0.3221999918605434,683.0552978515625,2.802615116977773e+19,1.8218737840652466
47,29811,0.3221999918605434,428.5814208984375,2.2048858515513016e+19,1.6953845024108887
48,29812,0.3221999918605434,429.5901794433594,1.8088317576705737e+19,1.9845548868179321
49,29813,0.3221999918605434,440.2106018066406,2.21272163111781e+19,1.7078521251678467
50,29814,0.3221999918605434,417.1904602050781,2.5975674134161523e+19,1.521632432937622
51,29815,0.3221999918605434,393.8523254394531,2.189001646869473e+19,0.6025193929672241
52,29818,0.3221999918605434,375.0323181152344,2.5707230569263268e+19,0.37378397583961487
53,29820,0.3221999918605434,372.4494934082031,1.447844089067343e+21,0.9694710969924927
54,29821,0.3221999918605434,389.9541015625,2.6715476134864093e+19,0.07761005312204361
55,29824,0.3221999918605434,859.2335815429688,2.788273527109714e+19,3.095353364944458
56,29825,0.3221999918605434,433.73284912109375,1.3158536247292985e+19,1.7165542840957642
57,29826,0.3221999918605434,418.7428283691406,3.3816146416297312e+19,2.641014337539673
58,29827,0.3221999918605434,416.3787841796875,2.8243504827379745e+19,1.4629842042922974
59,29828,0.3221999918605434,653.3153076171875,1.8700124329307275e+19,0.012811747379601002
60,29829,0.3221999918605434,652.3909301757812,1.8785954405994725e+19,1.4514440298080444
61,29832,0.3221999918605434,634.4898071289062,1.336478593696609e+19,2.3242740631103516
62,29834,0.3221999918605434,635.1867065429688,1.5118163935640945e+19,0.8358213305473328
63,29835,0.3221999918605434,648.7593994140625,1.554856776233386e+19,2.101945638656616
64,29837,0.3221999918605434,589.4405517578125,1.0488133665215742e+19,2.0437097549438477
65,29840,0.3221999918605434,420.11859130859375,2.0248474195727483e+19,
66,29841,0.3221999918605434,421.06915283203125,2.4391546159373484e+19,1.8990991115570068
67,29843,0.3221999918605434,863.427734375,2.88966587147438e+19,3.294260025024414
68,29845,0.3221999918605434,798.8304443359375,2.6876319292844933e+19,0.37663397192955017
69,29846,0.3221999918605434,621.056640625,2.6228229756038414e+19,2.4861912727355957
70,29848,0.3221999918605434,570.6802978515625,2.338558317991192e+19,0.4403876066207886
71,29849,0.3221999918605434,599.2890625,1.7945227133466968e+19,1.7606911659240723
72,29851,0.3221999918605434,610.7130126953125,1.4933312941267616e+19,1.3150910139083862
73,29852,0.3221999918605434,575.1961669921875,2.197690867361461e+19,1.8218709230422974
74,29854,0.3221999918605434,587.7518920898438,1.912759245995403e+19,1.8475850820541382
75,29855,0.3221999918605434,592.9464721679688,1.6527337620217266e+19,1.8109519481658936
76,29859,0.3221999918605434,582.7685546875,1.7481265112382702e+19,1.8426824808120728
77,29862,0.3221999918605434,579.041259765625,1.8525101869374636e+19,1.8536418676376343
78,29872,0.3221999918605434,424.1997375488281,2.583877614041039e+19,1.3177573680877686
79,29873,0.3221999918605434,581.0299682617188,1.794700064572257e+19,1.8571748733520508
80,29876,0.3221999918605434,624.447265625,2.02933166779547e+19,1.970837950706482
81,29877,0.3221999918605434,625.3773803710938,2.1351130426758922e+19,1.662928819656372
82,29878,0.3221999918605434,624.0902099609375,2.1236658072167907e+19,1.6810446977615356
83,29879,0.3221999918605434,540.6156005859375,3.071356209722504e+19,0.9783799648284912
84,29880,0.3221999918605434,532.3921508789062,2.9903569473228505e+19,0.9882948994636536
85,29881,0.3221999918605434,529.41162109375,2.944145133314402e+19,0.9739720225334167
86,29882,0.3221999918605434,530.5940551757812,3.1231159395023847e+19,0.9953194260597229
87,29883,0.3221999918605434,577.4356079101562,3.3571903102326407e+19,1.3015179634094238
88,29884,0.3221999918605434,534.9508666992188,3.1349996810777133e+19,0.9900946021080017
89,29885,0.3221999918605434,529.9520263671875,3.010622485939041e+19,0.983723521232605
90,29887,0.3221999918605434,631.5997314453125,2.591137029612267e+19,1.7591512203216553
91,29888,0.3221999918605434,422.91156005859375,2.30610491288343e+19,1.669863224029541
